1,estimate,SE,df,t.ratio,p.value
mono - mono_garlic,0.17487006706064243,0.20935028358966645,32,0.8352989260974377,0.9895603587985276
mono - mono_predator,0.6357751327324557,0.2294709796139617,32,2.7706123615370366,0.1385708559111688
mono - mono_predator_garlic,1.2457595117235503,0.27175308514374874,32,4.584159591287007,0.0015277478181374704
mono - poli,0.1490559462746754,0.2025557385481233,32,0.7358761955749903,0.9951115427530342
mono - poli_garlic,0.11001877929673515,0.20535765799501796,32,0.5357422770150809,0.9993432471352672
mono - poli_predator,0.7436295794145289,0.2248212515239395,32,3.3076480731864684,0.04260556581889419
mono - poli_predator_garlic,1.0230074021578632,0.24007852417120962,32,4.261136666386351,0.003709582427037561
mono_garlic - mono_predator,0.4609050656718132,0.23478051568225564,32,1.9631316693059284,0.520657236815188
mono_garlic - mono_predator_garlic,1.0708894446629078,0.2761999366054082,32,3.877225526640251,0.010306988497916891
mono_garlic - poli,-0.025814120785967037,0.2091997072394521,32,-0.12339463150596063,0.9999999713803129
mono_garlic - poli_garlic,-0.06485128776390728,0.21134708280442252,32,-0.30684732859038183,0.9999843035943233
mono_garlic - poli_predator,0.5687595123538864,0.23097831882063238,32,2.4623935062734614,0.2475177789399735
mono_garlic - poli_predator_garlic,0.8481373350972208,0.24572504205975532,32,3.4515706172550824,0.03017460999899657
mono_predator - mono_predator_garlic,0.6099843789910946,0.2917885011956738,32,2.0905017726590884,0.44193179870669963
mono_predator - poli,-0.4867191864577803,0.2291144500220705,32,-2.124349583410801,0.42177700068063007
mono_predator - poli_garlic,-0.5257563534357206,0.2312940626655351,32,-2.2731078670013045,0.3384793734538578
mono_predator - poli_predator,0.10785444668207322,0.249098964082897,32,0.432978302736661,0.9998388461645111
mono_predator - poli_predator_garlic,0.38723226942540756,0.2628813571550084,32,1.473030547377597,0.8155861842168179
mono_predator_garlic - poli,-1.0967035654488748,0.2716881743167679,32,-4.03662606297395,0.006777556264817797
mono_predator_garlic - poli_garlic,-1.1357407324268152,0.2732943416647415,32,-4.15574184781353,0.004930708761737845
mono_predator_garlic - poli_predator,-0.5021299323090214,0.28880634685962836,32,-1.7386388414555063,0.6632347533779168
mono_predator_garlic - poli_predator_garlic,-0.22275210956568703,0.3007184722458694,32,-0.7407330447714014,0.9949115252413072
poli - poli_garlic,-0.03903716697794024,0.2046177166111064,32,-0.1907809725593495,0.99999940681114
poli - poli_predator,0.5945736331398535,0.22098374145772195,32,2.6905763709933646,0.16234744462420359
poli - poli_predator_garlic,0.8739514558831878,0.23709435661360828,32,3.6860913450903556,0.016846443283918378
poli_garlic - poli_predator,0.6336108001177938,0.22668053627330942,32,2.7951707302908764,0.13186507496378252
poli_garlic - poli_predator_garlic,0.9129886228611281,0.24182073676268973,32,3.7754769714273415,0.013410394633191602
poli_predator - poli_predator_garlic,0.27937782274333434,0.25573271270574766,32,1.0924602479964827,0.9538084467886567
